week_end,ALBFR.PA,ALBFR.PA_price_date,BL,BL_price_date,BILL,BILL_price_date,NCNO,NCNO_price_date,WK,WK_price_date,^FCHI,^FCHI_price_date,^GSPC,^GSPC_price_date,^IXIC,^IXIC_price_date,^STOXX,^STOXX_price_date
2024-10-04,219,2024-10-04,54.5099983215332,2024-10-04,55.5099983215332,2024-10-04,30.969999313354492,2024-10-04,79.7300033569336,2024-10-04,7541.35986328125,2024-10-04,5751.06982421875,2024-10-04,18137.849609375,2024-10-04,518.5599975585938,2024-10-04
2024-10-11,222,2024-10-11,56.040000915527344,2024-10-11,55.81999969482422,2024-10-11,34.5099983215332,2024-10-11,79.08999633789062,2024-10-11,7577.89013671875,2024-10-11,5815.02978515625,2024-10-11,18342.939453125,2024-10-11,521.97998046875,2024-10-11
2024-10-18,224,2024-10-18,58.93000030517578,2024-10-18,57.77000045776367,2024-10-18,36.58000183105469,2024-10-18,81.5199966430664,2024-10-18,7613.0498046875,2024-10-18,5864.669921875,2024-10-18,18489.55078125,2024-10-18,524.989990234375,2024-10-18
2024-10-25,228,2024-10-25,56.56999969482422,2024-10-25,54.77000045776367,2024-10-25,37.83000183105469,2024-10-25,78.77999877929688,2024-10-25,7497.5400390625,2024-10-25,5808.1201171875,2024-10-25,18518.609375,2024-10-25,518.8099975585938,2024-10-25
2024-11-01,221,2024-11-01,55.5099983215332,2024-11-01,58.2599983215332,2024-11-01,37.33000183105469,2024-11-01,79.16999816894531,2024-11-01,7409.10986328125,2024-11-01,5728.7998046875,2024-11-01,18239.919921875,2024-11-01,510.8999938964844,2024-11-01
2024-11-08,226,2024-11-08,60.369998931884766,2024-11-08,77.30999755859375,2024-11-08,42.529998779296875,2024-11-08,94.75,2024-11-08,7338.669921875,2024-11-08,5995.5400390625,2024-11-08,19286.779296875,2024-11-08,506.6300048828125,2024-11-08
2024-11-15,228,2024-11-15,59.310001373291016,2024-11-15,84.69000244140625,2024-11-15,40.220001220703125,2024-11-15,91.27999877929688,2024-11-15,7269.6298828125,2024-11-15,5870.6201171875,2024-11-15,18680.119140625,2024-11-15,503.1199951171875,2024-11-15
2024-11-22,227,2024-11-22,62.70000076293945,2024-11-22,91.51000213623047,2024-11-22,41.41999816894531,2024-11-22,95.62000274658203,2024-11-22,7255.009765625,2024-11-22,5969.33984375,2024-11-22,19003.650390625,2024-11-22,508.4700012207031,2024-11-22
2024-11-29,224,2024-11-29,62.0099983215332,2024-11-29,90.22000122070312,2024-11-29,41.9900016784668,2024-11-29,97.25,2024-11-29,7235.10986328125,2024-11-29,6032.3798828125,2024-11-29,19218.169921875,2024-11-29,510.25,2024-11-29
2024-12-06,219,2024-12-06,64.2300033569336,2024-12-06,97.41000366210938,2024-12-06,37.40999984741211,2024-12-06,102.86000061035156,2024-12-06,7426.8798828125,2024-12-06,6090.27001953125,2024-12-06,19859.76953125,2024-12-06,520.469970703125,2024-12-06
