date,open,high,low,close,adj_close,volume
2024-12-12,220,220,217,218,218,104
2024-12-13,217,228,195.5,223,223,2725
2024-12-16,224,225,215,218,218,998
2024-12-17,218,220,217,220,220,341
2024-12-18,220,223,215,217,217,2072
2024-12-19,217,218,215,218,218,11069
2024-12-20,219,228,218,228,228,430
2024-12-23,227,227,222,223,223,232
2024-12-24,223,226,223,224,224,19
2024-12-27,227,227,222,222,222,209
2024-12-30,226,230,225,225,225,763
2024-12-31,226,227,224,224,224,220
2025-01-02,222,226,222,223,223,549
2025-01-03,223,225,222,224,224,1008
2025-01-06,226,226,220,224,224,801
2025-01-07,224,227,222,225,225,293
2025-01-08,225,227,223,227,227,1483
2025-01-09,226,231,225,229,229,355
2025-01-10,233,235,231,234,234,455
2025-01-13,233,235,232,232,232,234
2025-01-14,232,233,232,232,232,146
2025-01-15,232,235,232,232,232,1601
2025-01-16,231,231,224,225,225,559
2025-01-17,225,234,225,227,227,512
2025-01-20,227,231,227,230,230,281
2025-01-21,231,235,230,235,235,228
2025-01-22,235,247,235,239,239,1689
2025-01-23,240,241,231,234,234,2494
2025-01-24,234,243,234,243,243,2438
2025-01-27,246,259,246,255,255,2468
2025-01-28,252,253,247,251,251,1429
2025-01-29,251,253,246,247,247,1446
2025-01-30,248,254,248,254,254,835
2025-01-31,255,255,253,253,253,373
2025-02-03,250,251,248,250,250,511
2025-02-04,251,251,248,250,250,1171
2025-02-05,251,264,248,260,260,1535
2025-02-06,263,271,260,261,261,2945
2025-02-07,263,263,254,255,255,757
2025-02-10,255,261,248,261,261,865
2025-02-11,261,263,249,260,260,3041
2025-02-12,259,264,249,256,256,1716
2025-02-13,256,265,255,260,260,1136
2025-02-14,259,264,251,252,252,1895
2025-02-17,254,258,254,256,256,481
2025-02-18,258,260,255,257,257,261
2025-02-19,256,270,251,270,270,3546
2025-02-20,268,278,263,270,270,5864
2025-02-21,269,269,259,261,261,1303
2025-02-24,261,266,254,256,256,2263
2025-02-25,255,261,253,253,253,1321
2025-02-26,254,267,254,267,267,1142
2025-02-27,268,270,265,267,267,998
2025-02-28,267,269,264,268,268,301
2025-03-03,269,270,259,259,259,437
2025-03-04,260,261,253,255,255,805
2025-03-05,258,266,258,258,258,918
2025-03-06,260,265,260,263,263,565
2025-03-07,262,263,255,258,258,933
2025-03-10,259,264,252,255,255,1571
2025-03-11,254,257,250,254,254,1832
2025-03-12,254,256,248,253,253,924
2025-03-13,254,254,246,246,246,753
2025-03-14,246,255,246,255,255,1028
2025-03-17,254,262,254,261,261,516
2025-03-18,261,264,248,249,249,1566
2025-03-19,251,253,249,251,251,1798
2025-03-20,250,254,248,252,252,3888
2025-03-21,252,253,245,246,246,889
2025-03-24,245,245,235,238,238,2058
2025-03-25,238,243,237,238,238,1915
2025-03-26,239,242,238,239,239,771
2025-03-27,245,246,237,242,242,1249
2025-03-28,242,244,240,242,242,866
2025-03-31,242,242,236,241,241,1543
2025-04-01,242,248,241,246,246,921
2025-04-02,245,245,239,240,240,1599
2025-04-03,241,242,222,231,231,2798
2025-04-04,232,232,223,227,227,2694
2025-04-07,224.10000610351562,234,204,229.85000610351562,229.85000610351562,3409
2025-04-08,232,233,226,226.8000030517578,226.8000030517578,1442
2025-04-09,224,234.5,223.5,230,230,1499
2025-04-10,242.5500030517578,242.5500030517578,237.0500030517578,238.5,238.5,3244
2025-04-11,237.0500030517578,240,233.39999389648438,236.10000610351562,236.10000610351562,1642
2025-04-14,236.9499969482422,238,234.60000610351562,237,237,981
2025-04-15,234.5,236.89999389648438,232.0500030517578,235,235,1203
2025-04-16,227.60000610351562,229,222.39999389648438,227,227,3020
2025-04-17,225.14999389648438,225.14999389648438,205.6999969482422,213,213,3563
2025-04-22,213,213,208.60000610351562,210,210,2900
2025-04-23,212,218,212,216.8000030517578,216.8000030517578,1814
2025-04-24,217.10000610351562,223,214,220,220,923
2025-04-25,220.0500030517578,228,220.0500030517578,225,225,762
2025-04-28,225.0500030517578,230,223,223,223,1356
2025-04-29,225,229,222.35000610351562,227,227,1505
2025-04-30,229,234,228.14999389648438,231,231,1303
2025-05-02,231,235,228,228,228,1524
2025-05-05,229.0500030517578,229.0500030517578,220,222.5,222.5,721
2025-05-06,224.10000610351562,225,222,225,225,1508
2025-05-07,225,233,223.8000030517578,232.8000030517578,232.8000030517578,1719
2025-05-08,232,243,232,241.85000610351562,241.85000610351562,2097
2025-05-09,242.0500030517578,246.5500030517578,242.0500030517578,242.35000610351562,242.35000610351562,796
2025-05-12,244.9499969482422,246,240.39999389648438,240.39999389648438,240.39999389648438,405
2025-05-13,240.4499969482422,243.39999389648438,237.1999969482422,243.3000030517578,243.3000030517578,1034
2025-05-14,242.9499969482422,247.64999389648438,240,245.39999389648438,245.39999389648438,1555
2025-05-15,247,255,247,253,253,4147
2025-05-16,254,267,254,264,264,2840
2025-05-19,264,267,261,266,266,2167
2025-05-20,265,266,258,261,261,1675
2025-05-21,262,265,259,263,263,4067
2025-05-22,263,264,259,261,261,1130
2025-05-23,259,262,254,258,258,2390
2025-05-26,260,263,258,262,262,1632
2025-05-27,262,272,262,268,268,2785
2025-05-28,269,275,269,274,274,795
2025-05-29,273,275,267,270,270,866
2025-05-30,270,272,250,254,254,1648
2025-06-02,255,264,251,263,263,1367
2025-06-03,263,269,261,263,263,983
2025-06-04,263,270,263,268,268,942
2025-06-05,270,270,264,265,265,541
2025-06-06,266,282,266,279,279,3693
2025-06-09,280,282,275,276,276,1815
2025-06-10,276,276,262,263,263,956
2025-06-11,262,267,262,265,265,1244
2025-06-12,266,266,264,265,265,322
2025-06-13,265,269,261,263,263,1568
2025-06-16,263,270,263,267,267,1798
2025-06-17,265,268,259,268,268,1632
2025-06-18,268,268,260,262,262,1163
2025-06-19,262,271,260,266,266,1871
2025-06-20,266,273,266,267,267,1153
2025-06-23,266,266,256,260,260,2144
2025-06-24,260,261,255,256,256,1082
2025-06-25,258,262,254,256,256,1245
2025-06-26,257,257,249,251,251,1554
2025-06-27,252,260,252,255,255,1847
2025-06-30,256,256,251,251,251,630
2025-07-01,253,261,253,255,255,1206
2025-07-02,257,257,247,250,250,1562
2025-07-03,250,254,246,246,246,1389
2025-07-04,245,249,242,249,249,881
2025-07-07,249,249,242,242,242,1086
2025-07-08,244,246,242,245,245,683
2025-07-09,245,251,241,250,250,2577
2025-07-10,249,249,243,245,245,593
2025-07-11,245,248,242,242,242,686
2025-07-14,242,247,241,246,246,356
2025-07-15,248,254,243,248,248,1449
2025-07-16,248,257,243,245,245,2290
2025-07-17,245,245,225,236,236,6027
2025-07-18,236,236,226,229,229,2468
2025-07-21,229,245,229,235,235,3848
2025-07-22,246,246,231,234,234,1117
2025-07-23,234,237,229,229,229,2684
2025-07-24,229,232,227,229,229,1140
2025-07-25,229,231,229,229,229,1114
2025-07-28,230,234,229,229,229,526
2025-07-29,229,231,223,225,225,1271
2025-07-30,225,225,220,221,221,1113
2025-07-31,223,224,220,224,224,706
2025-08-01,225,225,217,218,218,871
2025-08-04,219,225,219,219,219,669
2025-08-05,221,222,215,215,215,893
2025-08-06,215,218,212,213,213,608
2025-08-07,216,216,213,213,213,480
2025-08-08,214,215,210,212,212,748
2025-08-11,211,215,210,213,213,704
2025-08-12,215,215,209,209,209,1171
2025-08-13,209,211,205,209,209,2701
2025-08-14,209,211,206,207,207,845
2025-08-15,209,209,205,208,208,670
2025-08-18,208,209,205,209,209,1439
2025-08-19,209,209,204,206,206,726
2025-08-20,205,216,204,212,212,1087
2025-08-21,214,214,207,214,214,1139
2025-08-22,212,215,209,213,213,609
2025-08-25,215,215,210,212,212,370
2025-08-26,210,218,209,217,217,1199
2025-08-27,218,225,217,224,224,1320
2025-08-28,223,230,223,228,228,2096
2025-08-29,228,230,223,226,226,1328
2025-09-01,227,227,221,223,223,716
2025-09-02,224,227,208,213,213,9836
2025-09-03,214,214,208,209,209,633
2025-09-04,209,212,207,207,207,717
2025-09-05,208,208,205,205,205,543
2025-09-08,203,211,199,211,211,1822
2025-09-09,212,213,208,212,212,789
2025-09-10,214,215,207,208,208,637
2025-09-11,209,213,206,206,206,1048
2025-09-12,209,211,206,206,206,646
2025-09-15,207,225,207,222,222,1905
2025-09-16,224,224,215,215,215,526
2025-09-17,215,222,215,220,220,536
2025-09-18,228,247,228,229,229,5315
2025-09-19,229,231,224,231,231,2904
2025-09-22,231,233,228,231,231,521
2025-09-23,231,235,229,234,234,1391
2025-09-24,233,234,229,232,232,434
2025-09-25,234,237,233,234,234,783
2025-09-26,233,237,232,234,234,726
2025-09-29,234,242,234,235,235,872
2025-09-30,236,238,235,236,236,828
2025-10-01,238,243,238,239,239,1847
2025-10-02,240,247,240,245,245,1363
2025-10-03,245,247,242,245,245,727
2025-10-06,245,245,234,239,239,1280
2025-10-07,242,250,242,248,248,924
